city,country,longitude,latitude,sqm,total_rooms,max_guests,has_wifi,has_pool,distance_to_center,distance_to_sea,typeOfRental,nombre_etoiles,rental_rent
Dubai,UAE,55.22870233937373,25.233797420148548,174,5,9,0,0,7.46,12.48,DAILY,4,360420968249991232
Casablanca,Morocco,-7.571386393572595,33.61071691119876,68,1,4,0,0,1.4,1.6,DAILY,3,48309796712942072
Marseille,France,5.378720712940734,43.335668633990615,76,3,5,1,0,12.62,12.66,DAILY,2,136213162188342864
Marseille,France,5.376556472166866,43.31419599743103,89,3,7,0,0,2.09,14.8,DAILY,4,221261944784993376
Tangier,Morocco,-5.843650580476697,35.784820616663765,154,5,9,1,0,12.09,14.13,DAILY,2,52426484894213872
Barcelona,Spain,2.1856953805446317,41.364499736962216,26,1,4,1,0,12.98,14.29,DAILY,5,186307925911198528
Abu Dhabi,UAE,54.42194396208834,24.40626752944299,175,5,12,1,1,8.27,1.61,DAILY,3,437580573603652544
Sevilla,Spain,-5.998462108361024,37.35171881260391,131,3,7,1,1,13.96,18.73,DAILY,2,157432812564296160
Tangier,Morocco,-5.878942875163364,35.77778824426584,102,2,5,0,0,6.59,6.94,DAILY,3,45183834881774704
Chicago,USA,-87.60829369149715,41.87546961568109,46,1,1,1,0,10.24,11.95,DAILY,4,232403476599128704
Dubai,UAE,55.23836942722423,25.1906777504735,91,2,5,0,0,10.87,7.3,DAILY,2,181405068395386048
Chicago,USA,-87.6639898924354,41.90814902108296,27,1,1,0,0,0.69,1.46,DAILY,5,277139588042913056
New York,USA,-74.04151638552462,40.73957816757146,133,3,6,0,0,14.12,18.34,DAILY,4,340732514669870528
Marseille,France,5.3829315723351225,43.2926808000798,199,5,9,0,0,1.0,9.73,DAILY,4,264287750099499168
Casablanca,Morocco,-7.539877676254474,33.60623964377052,164,5,10,0,0,1.97,4.03,DAILY,2,66203515486327688
Sevilla,Spain,-5.940791217769484,37.40613304951306,147,5,9,0,0,14.75,16.56,DAILY,4,195537880881769056
Marseille,France,5.403357225475925,43.299502805474226,117,3,5,1,1,11.37,3.32,DAILY,5,326184847822170112
Dubai,UAE,55.23815466100759,25.20429589568146,180,5,11,0,0,14.15,10.19,DAILY,1,260429490335972832
Madrid,Spain,-3.7191232051125924,40.465990429670214,77,2,3,1,0,4.09,5.72,DAILY,1,74664030746085808
Los Angeles,USA,-118.2823450998439,34.06014990998987,154,5,9,0,0,0.83,18.41,DAILY,1,231923556358818368
Abu Dhabi,UAE,54.351409204411,24.489810697257198,171,4,8,1,0,3.88,17.47,DAILY,2,258419719158443680
Valencia,Spain,-0.377839325350256,39.45103487233954,20,1,4,0,0,5.46,18.95,DAILY,2,77671318059487440
Dubai,UAE,55.27477964622032,25.21474201406571,88,2,3,0,1,7.91,10.07,DAILY,4,296424581298190720
Rabat,Morocco,-6.872401508777669,33.97666578596651,52,2,6,0,1,12.3,19.59,DAILY,3,56930372325044016
Abu Dhabi,UAE,54.39799893576637,24.43893196149335,167,5,11,1,0,1.96,8.48,DAILY,4,390888683375748992
Dubai,UAE,55.238775543945046,25.225315019951502,147,4,7,0,1,14.35,0.79,DAILY,2,380704234290280128
Valencia,Spain,-0.3976975577719596,39.441263276495626,102,2,6,1,0,12.5,8.14,DAILY,5,214843369426782176
Dubai,UAE,55.23667582780023,25.18864156365231,160,5,10,0,1,14.04,10.39,DAILY,3,382650292992537216
Rabat,Morocco,-6.878309929307999,34.01309933314018,63,2,3,0,0,4.6,11.2,DAILY,5,64556356618781896
Rabat,Morocco,-6.8085302239865335,34.058646561481304,70,3,8,0,1,10.85,17.78,DAILY,4,76558747921562480
Miami,USA,-80.15683838516655,25.786847343396364,97,3,8,0,0,12.47,13.49,DAILY,1,184227889818753280
Miami,USA,-80.22604969958695,25.765613180125044,136,3,6,0,0,4.81,2.04,DAILY,2,226957605468698304
Lyon,France,4.875707857820865,45.80191892339935,80,2,5,0,0,3.24,8.89,DAILY,1,91294412445727440
Abu Dhabi,UAE,54.4206560089163,24.414712130723423,80,3,6,1,1,12.77,7.63,DAILY,3,300244891701555648
Chicago,USA,-87.62227909623057,41.88764258696339,147,5,11,0,0,10.65,14.41,DAILY,5,384323259754096896
Abu Dhabi,UAE,54.38954562407031,24.445421135855618,196,6,11,0,0,13.62,0.46,DAILY,2,383345067449194048
Lyon,France,4.825948877181186,45.75748033002471,65,2,6,1,0,12.13,18.13,DAILY,4,216742089614689792
Marrakech,Morocco,-7.998102348846207,31.67244670314663,136,4,9,0,0,12.45,18.81,DAILY,3,55583509821169648
Tangier,Morocco,-5.8581882422149505,35.772020276751476,156,5,10,0,1,2.21,3.58,DAILY,2,74553878541872976
Marrakech,Morocco,-8.019903175692308,31.66420629831266,139,3,5,1,0,14.56,0.61,DAILY,1,38588847399561576
Marseille,France,5.382127993750153,43.2714033120087,187,5,9,0,0,5.78,19.57,DAILY,1,137558530351598896
Abu Dhabi,UAE,54.41645686141165,24.448423729158336,17,1,2,1,0,10.14,18.87,DAILY,2,115828256677654432
Dubai,UAE,55.272823898961704,25.221543812039013,162,5,11,1,0,11.23,18.48,DAILY,1,225524007765123616
Rabat,Morocco,-6.820914614098046,34.06536700150716,125,3,6,0,0,0.63,13.4,DAILY,2,45825988434162768
Los Angeles,USA,-118.25179602846114,34.03144173131535,77,2,6,0,0,8.21,18.09,DAILY,3,247384369963555488
Rabat,Morocco,-6.878721307992844,34.06818500637724,159,5,11,0,0,13.19,18.61,DAILY,5,83073524763206336
Madrid,Spain,-3.7308138204921804,40.455054482740444,80,2,4,0,0,5.32,11.16,DAILY,4,157051625277984064
Valencia,Spain,-0.33654541554177836,39.42181639005285,120,4,10,1,1,1.65,3.04,DAILY,5,274905969919718784
New York,USA,-73.96204341278856,40.72185393234276,131,3,5,1,0,5.93,19.73,DAILY,3,276554574949747552
Marrakech,Morocco,-7.954705385045782,31.677191583480898,79,3,5,0,0,9.57,2.75,DAILY,2,41843403043998544
Marseille,France,5.3351886208016985,43.31921659943905,97,2,5,0,1,9.41,6.9,DAILY,3,214486981062601344
Paris,France,2.364769952616467,48.90428898855612,108,3,5,0,1,2.02,1.75,DAILY,4,319430523530518720
Marrakech,Morocco,-7.987318334570857,31.671855228871177,121,3,7,1,1,4.02,7.34,DAILY,4,73303709419702096
Marseille,France,5.329125982560305,43.34005245871943,106,4,7,1,0,14.4,9.7,DAILY,4,208072085006567264
Dubai,UAE,55.29309850050285,25.237952920499314,139,4,9,1,0,7.37,12.88,DAILY,1,216100974256410976
Paris,France,2.357637848953607,48.81522729702168,77,2,6,0,0,6.51,4.28,DAILY,1,127154987110088768
Dubai,UAE,55.282595269039085,25.166669987284518,197,5,12,0,0,12.54,16.63,DAILY,4,425930508386759872
Sevilla,Spain,-5.99928603772917,37.34566868835029,40,1,1,1,0,10.46,6.08,DAILY,5,146442228225026304
Marseille,France,5.413706784046127,43.264747066711045,123,4,9,1,0,10.31,12.96,DAILY,5,268910439763840832
Marrakech,Morocco,-8.022313012156877,31.67812787971278,75,3,8,0,0,4.98,18.16,DAILY,4,63981897309568536
Marseille,France,5.410559205679999,43.2857512068988,171,4,10,1,1,10.81,4.27,DAILY,3,288700790837192768
Chicago,USA,-87.65840612261654,41.85472533534852,68,1,4,1,0,0.6,15.28,DAILY,3,223426537184210624
Paris,France,2.3620197109344487,48.81013616578811,24,1,3,0,0,8.02,8.43,DAILY,3,137804797121963168
Abu Dhabi,UAE,54.341505511461385,24.407455184418094,41,1,2,0,0,12.42,15.53,DAILY,2,131964710281555152
Dubai,UAE,55.255023732013086,25.174771281569218,134,4,10,1,0,12.96,12.6,DAILY,1,225576987642451936
Abu Dhabi,UAE,54.398218075131226,24.435459775944707,190,5,11,1,1,14.38,8.86,DAILY,3,414072877926326464
Tangier,Morocco,-5.797089913835172,35.74780222897643,137,4,9,1,0,10.55,3.63,DAILY,5,86950550189024624
Tangier,Morocco,-5.792777905189624,35.782139470524356,89,3,6,1,1,7.52,15.71,DAILY,2,56056926050359400
Casablanca,Morocco,-7.560078454027274,33.58057175127833,92,3,5,1,1,1.64,19.53,DAILY,1,47308468382507168
Abu Dhabi,UAE,54.37782717397222,24.499642590591225,95,3,6,0,1,14.28,7.86,DAILY,5,366859121305472960
Chicago,USA,-87.60020749495426,41.86657088692457,176,6,12,1,1,10.39,2.56,DAILY,4,478612372075271488
Barcelona,Spain,2.2002545625221344,41.375982903270646,50,2,4,1,0,1.37,12.86,DAILY,3,148861608866651808
Tangier,Morocco,-5.8414531819191025,35.7713870869897,123,4,7,1,0,11.81,13.33,DAILY,1,32263777130471140
Rabat,Morocco,-6.830748556468979,34.03635051308387,66,1,3,0,0,9.71,1.08,DAILY,4,58794433507129552
Dubai,UAE,55.27618017687577,25.159212057971043,73,2,6,0,1,0.38,10.6,DAILY,3,328949994468073024
Nice,France,7.301619202893208,43.7240300351442,103,3,6,0,0,14.59,2.61,DAILY,5,242733687736648288
Nice,France,7.23814803375959,43.75765117656743,72,2,4,0,0,2.2,17.05,DAILY,2,130957503873141840
Barcelona,Spain,2.152065692813985,41.43096558804,26,1,4,0,0,3.11,14.88,DAILY,4,138006666085113200
Marrakech,Morocco,-8.02275448712936,31.61771618068274,55,2,6,1,0,12.67,16.83,DAILY,4,55829246290837376
Tangier,Morocco,-5.801532965490852,35.76482192406779,113,3,7,1,1,11.88,12.23,DAILY,5,87736995081747168
Lyon,France,4.873186390401591,45.806664557467165,188,6,11,0,0,1.69,8.34,DAILY,5,361675593868788288
Marrakech,Morocco,-7.971036606441283,31.60109247234803,28,1,1,0,0,14.82,2.48,DAILY,2,24303028208457736
Nice,France,7.219178104155971,43.693457096464925,21,1,1,1,0,8.88,14.0,DAILY,3,124963990590367024
Tangier,Morocco,-5.816159944469259,35.71747090095649,157,4,7,0,1,13.56,7.69,DAILY,1,47814584884029864
Madrid,Spain,-3.6769245520686145,40.4374185748818,138,4,8,1,1,11.95,13.57,DAILY,2,176750321532677568
Paris,France,2.3302513872351,48.90267624823484,42,1,4,1,0,10.94,2.45,DAILY,2,131131499957162832
Chicago,USA,-87.61350803099525,41.899265040768206,19,1,3,0,0,12.62,1.37,DAILY,2,125975816145089984
Paris,France,2.347329857776742,48.890346768640086,163,4,7,1,0,10.96,5.79,DAILY,3,262694537307764928
Rabat,Morocco,-6.837005053732101,34.009616497385224,155,5,12,1,0,13.1,19.08,DAILY,2,54968158665213568
Casablanca,Morocco,-7.626588062819572,33.568560190568796,187,6,14,0,0,3.01,4.24,DAILY,4,94264423292905136
Miami,USA,-80.16847700937801,25.73342112158737,28,1,2,1,0,3.27,13.6,DAILY,2,136650081921061712
Abu Dhabi,UAE,54.337362336574934,24.44222606819816,89,2,3,1,1,7.08,5.24,DAILY,2,206341202500197888
Abu Dhabi,UAE,54.35402477938114,24.406574448828838,200,6,12,1,0,2.56,19.21,DAILY,5,452383230596074560
Dubai,UAE,55.28264084436851,25.16948924291721,30,1,3,0,0,12.33,11.75,DAILY,5,258008677696251808
Dubai,UAE,55.31702461451633,25.238060172347627,105,3,5,1,1,14.35,7.51,DAILY,3,326074944079416128
Sevilla,Spain,-6.013201855757049,37.34588295730346,78,2,6,0,0,10.91,8.63,DAILY,3,135912990091191088
Barcelona,Spain,2.1789032828965462,41.391840597446496,136,3,6,1,1,5.32,15.92,DAILY,4,256056009230740608
Abu Dhabi,UAE,54.364698800261976,24.49470343958702,132,3,5,1,1,12.7,9.94,DAILY,1,235246197777535712
Miami,USA,-80.15128237955837,25.735416460081332,45,1,1,1,0,5.54,12.77,DAILY,2,122834507869509856
Abu Dhabi,UAE,54.39442669463746,24.47462610512361,102,3,8,0,0,1.06,0.2,DAILY,5,396862355105282816
Abu Dhabi,UAE,54.34555918783034,24.482622594071735,21,1,1,1,0,6.7,12.2,DAILY,2,108448435816859056
Los Angeles,USA,-118.26606429605368,34.08678066278751,154,5,9,1,1,7.83,2.19,DAILY,3,378754076526753216
Lyon,France,4.799462807344451,45.72295580888436,72,3,7,1,0,12.31,3.9,DAILY,3,181921269556746048
Nice,France,7.252508738592399,43.75686132020603,115,3,8,0,1,8.54,10.56,DAILY,2,219887900508727808
Nice,France,7.233218964168666,43.7116756052377,46,1,3,1,0,11.49,8.22,DAILY,3,149465387581795360
Valencia,Spain,-0.3343740625044409,39.42965923654885,193,6,13,1,0,11.53,6.4,DAILY,1,157688879107233120
Barcelona,Spain,2.128751488350822,41.426851884368126,55,2,6,0,1,2.59,13.69,DAILY,1,122787269008748496
Lyon,France,4.808195980630344,45.779791415774916,193,6,13,1,0,6.77,9.89,DAILY,1,194976616651395552
Miami,USA,-80.14771953842475,25.759856542330866,166,4,9,1,1,13.89,13.7,DAILY,2,377339048805623872
Miami,USA,-80.19495315589536,25.762724470374895,125,4,9,0,0,1.48,6.07,DAILY,2,295865683647205760
Paris,France,2.3126369842459655,48.87522586187019,39,1,3,0,0,0.32,11.3,DAILY,2,107873395755638416
Casablanca,Morocco,-7.632723824945432,33.560754391109164,92,2,5,0,0,10.26,4.51,DAILY,5,67312810607224632
Abu Dhabi,UAE,54.34116486045582,24.409389226729367,158,4,7,0,1,12.71,1.75,DAILY,1,325569407494911232
Marrakech,Morocco,-7.969778151630961,31.670620562442718,129,4,7,0,1,5.99,0.66,DAILY,1,63025950612347048
Casablanca,Morocco,-7.6171486363472285,33.58445260412131,122,4,9,1,0,10.24,9.83,DAILY,5,73548645089528016
Madrid,Spain,-3.743988748879283,40.38583917601522,190,6,13,1,1,2.74,10.4,DAILY,3,250388852575053664
Rabat,Morocco,-6.809465601982376,34.01274250936566,178,5,9,1,0,0.59,4.96,DAILY,2,61778695854607824
Chicago,USA,-87.65275300990022,41.909861603671246,52,1,3,1,0,10.02,14.21,DAILY,2,136537533259172000
Abu Dhabi,UAE,54.34350153121337,24.41622978089376,123,4,10,0,0,12.79,1.47,DAILY,3,353615082747028864
Sevilla,Spain,-5.9439269652662325,37.362579940813745,176,6,14,0,1,4.59,7.39,DAILY,5,290210092659540800
Sevilla,Spain,-6.015493718630287,37.41216110805182,173,5,12,0,0,4.95,18.5,DAILY,4,222235604497954240
Abu Dhabi,UAE,54.406438259729185,24.412983693090645,102,3,6,0,0,2.34,17.99,DAILY,5,331066457975516096
Nice,France,7.247386341411743,43.669982603495576,129,3,6,0,1,13.77,10.24,DAILY,3,258948163323393600
Los Angeles,USA,-118.26835736271873,34.03984247858862,110,4,9,0,1,3.64,16.43,DAILY,3,339217573519164608
Nice,France,7.286651343390702,43.73724088700981,115,4,7,1,0,14.38,17.16,DAILY,3,200500926733926240
Paris,France,2.3052061272586393,48.873187499721304,50,1,1,0,0,8.43,5.59,DAILY,4,169988623960670112
Valencia,Spain,-0.36023544617021064,39.472356422477255,77,2,5,0,1,8.78,5.25,DAILY,4,217388876389357216
Marseille,France,5.371372299149487,43.24712398961358,149,4,10,1,0,9.1,9.92,DAILY,5,286226507914558176
Barcelona,Spain,2.1235620760607015,41.426381279943136,43,1,3,1,0,2.25,18.89,DAILY,3,121077913740726992
Marseille,France,5.382676466860527,43.26854049387449,98,3,6,1,0,4.31,11.83,DAILY,2,137179379620633648
Chicago,USA,-87.58209229201326,41.83342823102379,189,6,13,1,0,8.3,11.61,DAILY,3,362086714691378496
Abu Dhabi,UAE,54.394898761329884,24.480266604944273,71,2,5,0,1,11.54,19.41,DAILY,2,237697393415751360
Rabat,Morocco,-6.889966131141528,34.02850871952998,99,3,5,1,0,13.68,10.34,DAILY,1,25170056290253556
Marrakech,Morocco,-8.028559551293139,31.589159243945264,122,4,9,1,0,6.58,17.33,DAILY,5,84941668159658464
Miami,USA,-80.16500944649549,25.71609517252729,30,1,1,1,0,1.59,11.52,DAILY,4,209932870413235968
Nice,France,7.268450548360209,43.69764368282361,111,3,7,1,0,2.91,5.19,DAILY,3,211488491670487872
Dubai,UAE,55.25281246438708,25.185431903399195,118,4,10,1,0,11.63,9.52,DAILY,1,187869485863388576
Dubai,UAE,55.25711494742388,25.156493342133317,73,3,8,1,1,12.67,16.14,DAILY,5,407936675208212800
Marrakech,Morocco,-7.991302333600307,31.67295149561755,139,3,6,0,1,4.38,7.23,DAILY,4,73820363505138928
Rabat,Morocco,-6.856750236265589,34.02864267169873,46,1,4,1,0,5.27,11.72,DAILY,3,38676854157829944
Sevilla,Spain,-6.006775730134956,37.41816827130529,74,2,3,1,0,6.56,14.77,DAILY,4,156205039004508640
Marrakech,Morocco,-8.018234983446726,31.607727388721145,156,4,9,0,0,0.38,6.28,DAILY,4,75086042543310896
Marrakech,Morocco,-8.02844358870725,31.65450321830652,195,6,12,0,1,8.71,12.27,DAILY,2,78782491044124768
Marseille,France,5.351493358238746,43.32615972614126,65,1,1,1,0,13.05,2.99,DAILY,3,133687854672353168
New York,USA,-73.9629034260856,40.72269897479344,179,6,14,1,0,0.46,2.97,DAILY,5,547632772573745792
Dubai,UAE,55.239436115165354,25.2003666047,142,5,11,0,0,13.56,7.95,DAILY,2,253722233226046880
Dubai,UAE,55.31914789135332,25.24598908956284,122,4,10,0,0,10.44,2.64,DAILY,5,425846127966619520
Lyon,France,4.806752112737059,45.78024053877145,114,3,5,1,1,14.04,7.96,DAILY,5,275276091996376480
Valencia,Spain,-0.3586537145377328,39.50466936631942,16,1,2,0,0,12.23,19.0,DAILY,3,101297400368646800
Lyon,France,4.816625306025322,45.805283760049406,164,5,12,0,1,8.32,6.53,DAILY,3,260862006163252992
Abu Dhabi,UAE,54.35596353710042,24.464134481660288,145,4,10,1,1,7.25,17.43,DAILY,4,394554558375331456
Tangier,Morocco,-5.808404197867005,35.78594524907022,65,2,3,1,1,5.36,6.23,DAILY,3,57504247808429536
Chicago,USA,-87.58225353347258,41.840426164130626,182,6,13,1,1,7.41,13.62,DAILY,3,416000178074588160
Marseille,France,5.320575215859839,43.31092610951217,183,5,11,1,1,9.67,1.37,DAILY,1,290125262327976256
Paris,France,2.387435220100213,48.81025819206743,165,5,9,1,0,4.27,6.21,DAILY,3,272715562801705568
Marseille,France,5.326381259958366,43.28878778073731,121,3,7,1,1,6.05,16.22,DAILY,4,261161270625865408
Abu Dhabi,UAE,54.33210894895236,24.423391811210497,36,1,2,0,0,4.1,8.39,DAILY,4,192093520742775456
Lyon,France,4.821877940505656,45.78177736545407,54,1,4,1,0,2.13,2.36,DAILY,5,263989142879679552
New York,USA,-74.0426588033951,40.712999881454124,42,2,4,1,0,4.69,15.4,DAILY,3,212628323913876832
Barcelona,Spain,2.2019353666048893,41.362598294812116,30,1,1,0,0,7.02,11.36,DAILY,5,150557973794705696
Madrid,Spain,-3.7195109748974375,40.42683916497109,116,3,5,1,0,14.84,0.87,DAILY,4,217085987093865568
Miami,USA,-80.19313038979408,25.75983726592148,107,3,7,1,1,10.59,12.73,DAILY,3,374848637958509952
Miami,USA,-80.14321726510478,25.733661560426153,77,2,3,1,1,1.87,19.63,DAILY,3,295470188653808320
Dubai,UAE,55.28739415691431,25.22136768819887,18,1,4,1,0,1.19,9.41,DAILY,1,112596974675085296
Marrakech,Morocco,-7.992091114325345,31.64384223463088,137,4,9,1,1,10.58,6.96,DAILY,3,80522939633600512
Chicago,USA,-87.61628370931452,41.89867285391974,100,2,4,1,0,9.56,10.9,DAILY,2,193908074949005504
Sevilla,Spain,-5.960803731897337,37.43510982574793,110,4,9,0,0,13.01,6.65,DAILY,1,99110972965994320
Marseille,France,5.410841019669786,43.2672574114748,111,4,8,0,1,9.37,0.46,DAILY,3,262336933888353760
